2011-01-26 16:59:08 Notice: Notice (8): Undefined variable: add_friend in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 25]
2011-01-26 17:09:58 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:10:16 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:11:57 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:13:40 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:14:32 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 14]
2011-01-26 17:14:32 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 28]
2011-01-26 17:15:11 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 28]
2011-01-26 17:16:19 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:17:18 Notice: Notice (8): Undefined variable: pepe in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 14]
2011-01-26 17:17:18 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 28]
2011-01-26 17:17:49 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:18:00 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:18:17 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 27]
2011-01-26 17:18:59 Notice: Notice (8): Undefined variable: pending in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/friends_controller.php, line 19]
2011-01-27 10:43:50 Notice: Notice (8): Undefined variable: mathCaptcha in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 15]
2011-01-27 10:44:04 Notice: Notice (8): Undefined variable: mathCaptcha in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 15]
2011-01-27 10:51:53 Notice: Notice (8): Undefined variable: mathCaptcha in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 15]
2011-01-27 11:02:02 Notice: Notice (8): Undefined variable: math in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/chains_controller.php, line 72]
2011-01-27 11:02:02 Notice: Notice (8): Undefined variable: mathCaptcha in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 15]
2011-01-27 11:02:36 Notice: Notice (8): Undefined variable: mathCaptcha in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 15]
2011-01-27 11:03:10 Notice: Notice (8): Undefined variable: mathCaptcha in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 15]
2011-01-27 11:06:50 Notice: Notice (8): Undefined variable: mathCaptcha in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/add.ctp, line 15]
2011-01-27 11:15:58 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 65]
2011-01-27 11:17:27 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 65]
2011-01-27 11:17:28 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 65]
2011-01-27 11:18:49 Notice: Notice (8): Undefined index:  user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/users/account.ctp, line 66]
2011-01-27 11:21:44 Notice: Notice (8): Undefined index:  user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-27 11:21:44 Notice: Notice (8): Undefined index:  user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-27 11:22:18 Notice: Notice (8): Undefined index:  user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-27 11:33:15 Notice: Notice (8): Undefined variable: title in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/user_chains.ctp, line 23]
2011-02-17 13:42:25 Notice: Notice (8): Undefined variable: user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/items/add.ctp, line 12]
2011-02-17 13:43:35 Notice: Notice (8): Undefined index:  item in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/components/attachment.php, line 67]
2011-02-17 13:43:35 Notice: Notice (8): Use of undefined constant UPLOAD_ERR_EXTENSION - assumed 'UPLOAD_ERR_EXTENSION' in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/components/attachment.php, line 374]
2011-02-17 13:43:50 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-02-17 13:45:23 Notice: Notice (8): Undefined index:  item in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/components/attachment.php, line 67]
2011-02-17 13:45:23 Notice: Notice (8): Use of undefined constant UPLOAD_ERR_EXTENSION - assumed 'UPLOAD_ERR_EXTENSION' in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/components/attachment.php, line 374]
2011-02-17 13:45:32 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-02-17 13:50:09 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-02-17 13:57:00 Notice: Notice (8): Undefined index:  camello in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/components/attachment.php, line 67]
2011-02-17 13:57:00 Notice: Notice (8): Use of undefined constant UPLOAD_ERR_EXTENSION - assumed 'UPLOAD_ERR_EXTENSION' in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/components/attachment.php, line 374]
2011-02-17 13:57:08 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-02-17 14:01:46 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-02-18 12:56:23 Notice: Notice (8): Undefined variable: item in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/items/view.ctp, line 20]
2011-02-18 12:56:23 Notice: Notice (8): Undefined variable: item in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/items/view.ctp, line 21]
2011-02-18 12:56:23 Notice: Notice (8): Undefined variable: item in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/items/view.ctp, line 22]
